Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
164,1.48164e-51,0.117039,5000,1,14.8555,1,0,0.0488281,0.0488281
165,1.48164e-51,0.117039,5000,1,14.8691,1,0,0.046875,0.046875
166,1.47985e-51,0.117041,5000,1,14.8691,1,0,0.0488281,0.0488281
167,1.48075e-51,0.11704,5000,1,14.8682,1,0,0.0537109,0.0537109
168,1.48075e-51,0.11704,5000,1,14.8516,1,0,0.0566406,0.0566406
169,1.48019e-51,0.117073,5000,0.999023,14.8457,0.999023,0,0.0527344,0.0527344
170,1.47875e-51,0.117088,5000,1,14.8408,0.999023,0.000976562,0.0449219,0.0449219
171,1.48019e-51,0.117073,5000,0.999023,14.834,0.999023,0,0.0478516,0.0478516
172,1.48164e-51,0.117039,5000,1,14.8701,1,0,0.0371094,0.0371094
173,1.48164e-51,0.117039,5000,1,14.8779,1,0,0.0673828,0.0673828
174,1.48019e-51,0.117061,5000,1,14.8975,1,0,0.0390625,0.0390625
175,1.48164e-51,0.117039,5000,1,14.918,1,0,0.0488281,0.0488281
176,1.48019e-51,0.117054,5000,1,14.9121,1,0,0.0507812,0.0507812
177,1.4793e-51,0.117074,5000,1,14.9209,1,0.000976562,0.0478516,0.0478516
178,1.48019e-51,0.117073,5000,0.999023,14.9297,0.999023,0,0.0498047,0.0498047
179,1.48164e-51,0.117039,5000,1,14.9443,1,0,0.0458984,0.0458984
180,1.48164e-51,0.117039,5000,1,14.9199,1,0,0.0556641,0.0556641
181,1.4793e-51,0.117074,5000,0.999023,14.9082,0.999023,0,0.0507812,0.0507812
182,1.47641e-51,0.117104,5000,0.999023,14.915,0.999023,0,0.0458984,0.0458984
183,1.4793e-51,0.117055,5000,1,14.9297,1,0,0.0576172,0.0576172
184,1.4784e-51,0.117075,5000,1,14.9258,0.999023,0.000976562,0.0527344,0.0527344
185,1.4793e-51,0.117055,5000,1,14.9443,1,0,0.0576172,0.0576172
186,1.48075e-51,0.11704,5000,1,14.96,1,0,0.0429688,0.0429688
187,1.48164e-51,0.117039,5000,1,14.9629,1,0,0.0488281,0.0488281
188,1.48164e-51,0.117039,5000,1,14.9297,1,0,0.0537109,0.0537109
189,1.48019e-51,0.117054,5000,1,14.9307,1,0,0.0449219,0.0449219
190,1.48164e-51,0.117039,5000,1,14.9453,1,0,0.0498047,0.0498047
191,1.48164e-51,0.117039,5000,1,14.9658,1,0,0.0517578,0.0517578
192,1.48164e-51,0.117039,5000,1,14.958,1,0,0.0478516,0.0478516
193,1.48164e-51,0.117039,5000,1,14.9375,1,0,0.0449219,0.0449219
194,1.4773e-51,0.117103,5000,0.999023,14.9414,0.999023,0,0.0595703,0.0595703
